City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
199,Maua,BR,2020-02-19 00:14:18,-23.67,-46.46,75.2,78,75,12.75,thunderstorm,0,0
200,Dhule,IN,2020-02-19 00:14:18,20.9,74.78,67.87,26,16,5.64,few clouds,0,0
201,Oranjemund,NA,2020-02-19 00:14:18,-28.55,16.43,65.62,82,1,3.91,clear sky,0,0
202,Lagos,NG,2020-02-19 00:14:18,6.58,3.75,84.2,83,39,8.05,scattered clouds,0,0
203,Mwandiga,TZ,2020-02-19 00:14:18,-4.83,29.66,71.6,94,75,4.88,broken clouds,0,0
204,Puri,IN,2020-02-19 00:14:18,19.8,85.85,60.8,93,95,2.73,mist,0,0
205,Verkhnevilyuysk,RU,2020-02-19 00:14:18,63.45,120.32,-14.82,98,86,4.0,overcast clouds,0,0
206,Lorengau,PG,2020-02-19 00:14:19,-2.02,147.27,83.73,77,100,15.73,light rain,0,0
207,Port Elizabeth,ZA,2020-02-19 00:14:19,-33.92,25.57,66.2,88,77,8.05,light rain,0,0
208,Hofn,IS,2020-02-19 00:14:19,64.25,-15.21,37.76,67,99,12.28,overcast clouds,0,0
209,Katsuura,JP,2020-02-19 00:14:19,35.13,140.3,50.0,45,20,21.92,few clouds,0,0
210,Akniste,LV,2020-02-19 00:14:20,56.16,25.75,36.52,81,85,12.33,light snow,0,0
211,Sangar,RU,2020-02-19 00:14:20,63.92,127.47,-27.54,99,81,0.81,broken clouds,0,0
212,Karonga,MW,2020-02-19 00:14:20,-9.93,33.93,73.89,84,100,2.89,light rain,0,0
213,Kirkwall,GB,2020-02-19 00:14:20,58.98,-2.96,41.0,86,83,11.41,light rain,0,0
214,Itarema,BR,2020-02-19 00:14:20,-2.92,-39.92,76.95,90,100,3.47,light rain,0,0
215,Bambanglipuro,ID,2020-02-19 00:14:21,-7.95,110.28,76.1,86,99,2.42,light rain,0,0
216,Kodumudi,IN,2020-02-19 00:14:21,11.08,77.88,66.47,79,11,5.86,few clouds,0,0
217,Rocha,UY,2020-02-19 00:14:21,-34.48,-54.33,66.2,87,12,9.46,few clouds,0,0
218,Kudahuvadhoo,MV,2020-02-19 00:14:21,2.67,72.89,81.84,75,24,17.78,few clouds,0,0
219,Grindavik,IS,2020-02-19 00:14:22,63.84,-22.43,32.0,86,40,8.05,shower rain,0,0
220,Batticaloa,LK,2020-02-19 00:14:22,7.71,81.69,65.68,91,54,3.18,broken clouds,0,0
221,Alihe,CN,2020-02-19 00:14:23,50.57,123.72,2.5,81,0,4.7,clear sky,0,0
222,Ushtobe,KZ,2020-02-19 00:14:23,45.25,77.98,21.7,81,40,5.23,scattered clouds,0,0
223,Purpe,RU,2020-02-19 00:14:23,64.48,76.69,19.99,89,100,17.05,light snow,0,0
224,Russell,US,2020-02-19 00:14:23,32.35,-85.2,70.0,93,90,4.7,light rain,0,0
225,Bageshwar,IN,2020-02-19 00:14:23,29.85,79.77,43.03,30,73,4.45,broken clouds,0,0
226,Tomatlan,MX,2020-02-19 00:14:24,19.93,-105.25,81.72,52,0,4.83,clear sky,0,0
227,Victoria,HK,2020-02-19 00:14:24,22.29,114.16,59.0,62,20,9.17,few clouds,0,0
228,Olenegorsk,RU,2020-02-19 00:14:24,68.15,33.3,12.96,96,87,0.67,overcast clouds,0,0
229,Spassk-Ryazanskiy,RU,2020-02-19 00:14:24,54.41,40.38,34.0,100,98,1.99,overcast clouds,0,0
230,Ahero,KE,2020-02-19 00:14:24,-0.17,34.92,63.5,67,0,6.15,clear sky,0,0
231,Vostok,RU,2020-02-19 00:14:24,46.49,135.88,7.21,93,100,3.78,light snow,0,0
232,Ewo,CG,2020-02-19 00:14:25,-0.87,14.82,74.25,74,50,5.75,scattered clouds,0,0
233,Zhicheng,CN,2020-02-19 00:14:25,30.3,111.5,45.16,68,71,1.25,broken clouds,0,0
234,Ligayan,PH,2020-02-19 00:14:25,4.65,119.47,81.88,77,100,20.87,moderate rain,0,0
235,Brae,GB,2020-02-19 00:14:25,60.4,-1.35,42.8,93,1,3.36,clear sky,0,0
236,Bergen,NO,2020-02-19 00:14:25,60.39,5.33,39.99,93,75,14.99,broken clouds,0,0
237,Dzhebariki-Khaya,RU,2020-02-19 00:14:25,62.22,135.8,-12.46,98,99,1.72,overcast clouds,0,0
238,Tupik,RU,2020-02-19 00:14:25,54.43,119.93,-10.82,94,42,2.3,scattered clouds,0,0
239,Firminy,FR,2020-02-19 00:14:26,45.39,4.29,41.0,87,90,6.93,overcast clouds,0,0
240,Nushki,PK,2020-02-19 00:14:26,29.55,66.02,50.79,49,100,3.27,overcast clouds,0,0
241,Belmonte,BR,2020-02-19 00:14:26,-15.86,-38.88,80.6,83,40,8.05,scattered clouds,0,0
242,Broome,US,2020-02-19 00:14:26,42.25,-75.83,41.0,93,90,9.17,light rain,0,0
243,Thinadhoo,MV,2020-02-19 00:14:26,0.53,72.93,82.15,80,32,13.49,light rain,0,0
244,Mount Gambier,AU,2020-02-19 00:14:26,-37.83,140.77,60.8,87,75,17.22,broken clouds,0,0
245,Cururupu,BR,2020-02-19 00:14:26,-1.83,-44.87,74.68,99,100,2.46,overcast clouds,0,0
246,Antofagasta,CL,2020-02-19 00:14:26,-23.65,-70.4,69.8,73,40,12.75,scattered clouds,0,0
247,Wattegama,LK,2020-02-19 00:14:27,6.8,81.48,65.3,90,9,4.81,clear sky,0,0
248,Yumen,CN,2020-02-19 00:14:27,40.28,97.2,26.47,37,84,16.82,broken clouds,0,0
249,Korla,CN,2020-02-19 00:14:27,41.76,86.15,30.0,88,100,3.24,light snow,0,0
